"File","Function","Parameters"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","save_marked_image","submission, result"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","start_ai_marking_form","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","start_ai_marking_batch","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","start_ai_marking_single","submission_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","start_ai_grading_async","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\ai_marking_routes.py","reprocess_ocr","test_id, record_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\analytics_routes.py","dashboard",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\analytics_routes.py","start_ai_marking","guide_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\analytics_routes.py","export_submissions","guide_id, format"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\analytics_routes.py","review","submission_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\auth_routes.py","login",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\auth_routes.py","register",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\auth_routes.py","logout",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\dashboard_routes.py","dashboard",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\dashboard_routes.py","delete_file","test_id: int, file_type: str"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\dashboard_routes.py","handle_csrf_error","e"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\dashboard_routes.py","handle_bad_request","e"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\delete_routes.py","delete_submissions_for_guide","guide_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\delete_routes.py","delete_file","test_id, file_type"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\delete_routes.py","delete_test","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\delete_routes.py","delete_all_submissions","guide_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\delete_routes.py","delete_marking_guide","guide_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","_secure_send_file","file_path"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","_check_test_ownership","test"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_question_paper","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_rubric","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_marking_guide","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_answered_script","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_class_list","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_combined_scripts","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_student_list","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_review_zip","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\download_routes.py","download_all_files","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\export_routes.py","export_submissions","guide_id, format"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\fairness_audit.py","bias_report","batch_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\file_routes.py","ping_file",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\file_routes.py","uploaded_file","filename"
